Locality,River,n_locality,lat,lon,elev_m,watershed
MFA-AMEC,MFA,5,38.934,-120.9436,240,American
MFA-GASC,MFA,1,38.9665,-120.9325,242,American
MFA-TODC,MFA,6,38.9638,-120.9216,368,American
MFA-US-R,MFA,1,39.0075,-120.7316,360,American
NFA,NFA,12,39.1079,-120.9227,363,American
NFA-BUNC,NFA,8,39.0376,-120.9103,286,American
NFA-EUCHDS,NFA,3,39.1849,-120.762,580,American
NFA-INDC,NFA,3,39.0567,-120.9085,296,American
NFA-LyonsPk,NFA,11,39.2067,-120.3113,2529,American
NFA-POND,NFA,2,38.9999,-120.9406,241,American
NFA-ROBR,NFA,6,39.1045,-120.9267,400,American
NFA-SHIC,NFA,8,39.0417,-120.9009,341,American
NFA-SLAR,NFA,5,39.0987,-120.9255,356,American
NFMFA-SC,NFMFA,7,39.0224,-120.7369,522,American
RUB-HighlandDS,RUB,18,38.9615,-120.2422,2312,American
RUB-HighlandLk,RUB,29,38.9573,-120.2418,2383,American
RUB-LC-US,RUB,1,38.9889,-120.69,415,American
RUB-USPH,RUB,5,38.9993,-120.7233,361,American
RUB-Zitella,RUB,9,38.9595,-120.227,2335,American
RUB-ZitellaLk,RUB,2,38.9604,-120.2316,2337,American
SFA-CAMI,SFA,2,38.8115,-120.5787,725,American
FEA-BeanCk,FEA,60,39.9774,-121.091,1397,Feather
FEA-EBNFF,FEA,6,Unknown,Unknown,Unknown,Feather
FEA-GoldLk,FEA,4,39.9416,-121.136,1816,Feather
FEA-LoneRockCk,FEA,3,40.2012,-120.6453,1563,Feather
FEA-MillCk,FEA,4,39.9591,-121.1573,1891,Feather
FEA-RockLkBucksCk,FEA,1,39.9403,-121.1499,2102,Feather
FEA-RockLkSilver,FEA,8,39.9409,-121.1422,1902,Feather
FEA-SFRockCk,FEA,27,39.8789,-121.0022,1470,Feather
FEA-SPANISH-BGulch,FEA,5,39.9546,-121.089,1283,Feather
FEA-SPANISH-RockCk,FEA,1,39.9445,-121.0221,1090,Feather
FEA-SPANISH-SilverCk,FEA,3,39.9377,-121.0849,1189,Feather
FEA-SPANISH-Wapaunsie,FEA,1,39.9523,-121.0373,1096,Feather
FEA-SpanishCk,FEA,26,39.9541,-121.0541,1192,Feather
NFF-Poe,NFF,1,39.736,-121.4702,284,Feather
FORD-Mossy-P1,FORD,1,39.381,-120.4623,2157,Yuba
FORD-Mossy-P2,FORD,3,39.3852,-120.4714,1998,Yuba
FORD-Mossy-P3,FORD,2,39.3765,-120.4603,2158,Yuba
FORD-MossyDS,FORD,19,39.3853,-120.4728,1984,Yuba
FORD-MossyPond,FORD,34,39.3781,-120.4701,2106,Yuba
FORD-NorthCkTrib,FORD,34,39.3869,-120.451,2090,Yuba
MFY-OREGCk,MFY,10,39.4419,-121.0575,620,Yuba
MFY-Remmington,MFY,1,39.4137,-120.9912,620,Yuba
MFY-US-OH,MFY,7,39.413,-120.9903,624,Yuba
NFY,NFY,12,39.5119,-120.9774,705,Yuba
NFY-SLATE-CGRav,NFY,3,39.6928,-120.9258,1457,Yuba
NFY-SLATE-Onion,NFY,3,39.6355,-121.0395,1300,Yuba
SFY,SFY,1,39.3539,-120.7342,890,Yuba
SFY-FallCk,SFY,5,39.3553,-120.7371,884,Yuba
SFY-HUMBUG,SFY,1,39.3637,-120.921,877,Yuba
SFY-LOGA,SFY,3,39.3691,-120.8526,1201,Yuba
SFY-MCKI,SFY,3,39.368,-120.8354,1084,Yuba
SFY-MISC,SFY,7,39.361,-120.8814,1095,Yuba
SFY-RockCk,SFY,3,39.3298,-120.9863,594,Yuba
SFY-Scotchman,SFY,3,39.3293,-120.777,1167,Yuba
SFY-ShadyCk,SFY,9,39.3543,-121.059,675,Yuba
